hei_score,risk_class,risk_code,pop_raw,ndvi_raw,lulc_class,urban_class,lst_norm,pop_norm,ndvi_inv_norm,lulc_weight,color_hex
0.3748,Moderate Risk,3,1.0603314638137817,0.104513,Bare Land,Peri-Urban / Sparse,0.3541,0.002417,0.8122,0.70,#FFAA00
0.3745,Moderate Risk,3,1.055092692375183,0.104763,Bare Land,Peri-Urban / Sparse,0.3541,0.002405,0.8108,0.70,#FFAA00
0.3744,Moderate Risk,3,1.0549092292785645,0.104871,Bare Land,Peri-Urban / Sparse,0.3541,0.002404,0.8102,0.70,#FFAA00
0.3748,Moderate Risk,3,1.0550482273101807,0.104554,Bare Land,Peri-Urban / Sparse,0.3541,0.002405,0.8120,0.70,#FFAA00
0.3755,Moderate Risk,3,1.0547796487808228,0.103936,Bare Land,Peri-Urban / Sparse,0.3541,0.002404,0.8156,0.70,#FFAA00
0.3743,Moderate Risk,3,1.0531694889068604,0.104949,Bare Land,Peri-Urban / Sparse,0.3541,0.002400,0.8097,0.70,#FFAA00
0.3746,Moderate Risk,3,1.0515605211257935,0.104656,Bare Land,Peri-Urban / Sparse,0.3541,0.002397,0.8114,0.70,#FFAA00
0.3748,Moderate Risk,3,1.0522433519363403,0.104505,Bare Land,Peri-Urban / Sparse,0.3541,0.002398,0.8123,0.70,#FFAA00
0.3753,Moderate Risk,3,1.0536731481552124,0.104120,Bare Land,Peri-Urban / Sparse,0.3541,0.002402,0.8145,0.70,#FFAA00
0.3751,Moderate Risk,3,1.055654525756836,0.104288,Bare Land,Peri-Urban / Sparse,0.3541,0.002406,0.8136,0.70,#FFAA00
0.3751,Moderate Risk,3,1.0575944185256958,0.104257,Bare Land,Peri-Urban / Sparse,0.3541,0.002411,0.8137,0.70,#FFAA00
0.3765,Moderate Risk,3,1.059587001800537,0.103102,Bare Land,Peri-Urban / Sparse,0.3541,0.002415,0.8205,0.70,#FFAA00
0.3765,Moderate Risk,3,1.059983730316162,0.103022,Bare Land,Peri-Urban / Sparse,0.3541,0.002416,0.8209,0.70,#FFAA00
0.3749,Moderate Risk,3,1.0605024099349976,0.104437,Bare Land,Peri-Urban / Sparse,0.3541,0.002417,0.8127,0.70,#FFAA00
0.3757,Moderate Risk,3,1.057482123374939,0.103723,Bare Land,Peri-Urban / Sparse,0.3541,0.002410,0.8168,0.70,#FFAA00
0.3750,Moderate Risk,3,1.0507031679153442,0.104332,Bare Land,Peri-Urban / Sparse,0.3541,0.002395,0.8133,0.70,#FFAA00
0.3745,Moderate Risk,3,1.0447999238967896,0.104760,Bare Land,Peri-Urban / Sparse,0.3541,0.002381,0.8108,0.70,#FFAA00
0.3744,Moderate Risk,3,1.0391062498092651,0.104857,Bare Land,Peri-Urban / Sparse,0.3541,0.002368,0.8102,0.70,#FFAA00
0.3748,Moderate Risk,3,1.0328534841537476,0.104493,Bare Land,Peri-Urban / Sparse,0.3541,0.002354,0.8124,0.70,#FFAA00
0.3753,Moderate Risk,3,1.02187180519104,0.104055,Bare Land,Peri-Urban / Sparse,0.3541,0.002329,0.8149,0.70,#FFAA00
0.3748,Moderate Risk,3,1.0164035558700562,0.104538,Bare Land,Peri-Urban / Sparse,0.3541,0.002317,0.8121,0.70,#FFAA00
0.3743,Moderate Risk,3,1.0153038501739502,0.104948,Bare Land,Peri-Urban / Sparse,0.3541,0.002314,0.8097,0.70,#FFAA00
0.3731,Moderate Risk,3,1.0145307779312134,0.105975,Bare Land,Peri-Urban / Sparse,0.3541,0.002312,0.8037,0.70,#FFAA00
0.3726,Moderate Risk,3,1.014791488647461,0.106387,Bare Land,Peri-Urban / Sparse,0.3541,0.002313,0.8013,0.70,#FFAA00
0.3725,Moderate Risk,3,1.0128278732299805,0.106472,Bare Land,Peri-Urban / Sparse,0.3541,0.002309,0.8008,0.70,#FFAA00
0.3711,Moderate Risk,3,1.0133246183395386,0.107696,Bare Land,Peri-Urban / Sparse,0.3541,0.002310,0.7937,0.70,#FFAA00
0.3701,Moderate Risk,3,1.0135186910629272,0.108571,Bare Land,Peri-Urban / Sparse,0.3541,0.002310,0.7886,0.70,#FFAA00
0.3713,Moderate Risk,3,1.0156086683273315,0.107536,Bare Land,Peri-Urban / Sparse,0.3541,0.002315,0.7946,0.70,#FFAA00
0.3699,Moderate Risk,3,1.017939567565918,0.108740,Bare Land,Peri-Urban / Sparse,0.3541,0.002320,0.7876,0.70,#FFAA00
0.3695,Moderate Risk,3,1.0197219848632812,0.109084,Bare Land,Peri-Urban / Sparse,0.3541,0.002324,0.7856,0.70,#FFAA00
0.3693,Moderate Risk,3,1.0217275619506836,0.109225,Bare Land,Peri-Urban / Sparse,0.3541,0.002329,0.7848,0.70,#FFAA00
0.3686,Moderate Risk,3,1.0228511095046997,0.109858,Bare Land,Peri-Urban / Sparse,0.3541,0.002331,0.7811,0.70,#FFAA00
0.3686,Moderate Risk,3,1.0261337757110596,0.109856,Bare Land,Peri-Urban / Sparse,0.3541,0.002339,0.7811,0.70,#FFAA00
0.3696,Moderate Risk,3,1.0305012464523315,0.108988,Bare Land,Peri-Urban / Sparse,0.3541,0.002349,0.7862,0.70,#FFAA00
